시도,시군구,자격별,성별,연령구분,신청자, 계 , 1등급 , 2등급 , 3등급 , 4등급 , 5등급 , 등급외 
서울특별시,종로구,일반,남자,65세미만,29,13,2,1,6,4,0,5
서울특별시,종로구,일반,남자,65-69세,34,19,5,2,6,6,0,3
서울특별시,종로구,일반,남자,70-74세,76,46,10,11,16,7,2,7
서울특별시,종로구,일반,남자,75-79세,109,74,11,12,26,21,4,4
서울특별시,종로구,일반,남자,80-84세,80,49,6,7,15,19,2,6
서울특별시,종로구,일반,남자,85세이상,112,86,6,19,27,29,5,12
서울특별시,종로구,일반,여자,65세미만,26,13,2,4,2,4,1,7
서울특별시,종로구,일반,여자,65-69세,58,29,7,4,7,8,3,4
서울특별시,종로구,일반,여자,70-74세,107,50,2,8,14,20,6,15
서울특별시,종로구,일반,여자,75-79세,232,144,17,23,46,48,10,28
서울특별시,종로구,일반,여자,80-84세,304,199,23,31,70,60,15,27
서울특별시,종로구,일반,여자,85세이상,368,299,39,67,91,86,16,18
서울특별시,종로구,기초,남자,65세미만,13,8,2,0,2,4,0,1
서울특별시,종로구,기초,남자,65-69세,9,4,1,1,2,0,0,1
서울특별시,종로구,기초,남자,70-74세,11,4,0,1,0,2,1,4
서울특별시,종로구,기초,남자,75-79세,11,4,0,1,0,1,2,2
서울특별시,종로구,기초,남자,80-84세,12,6,1,0,1,4,0,2
서울특별시,종로구,기초,남자,85세이상,7,5,0,0,2,3,0,1
서울특별시,종로구,기초,여자,65세미만,3,3,0,0,1,2,0,0
서울특별시,종로구,기초,여자,65-69세,12,4,2,0,0,2,0,3
서울특별시,종로구,기초,여자,70-74세,25,6,0,2,0,3,1,8
서울특별시,종로구,기초,여자,75-79세,46,16,0,3,3,9,1,17
서울특별시,종로구,기초,여자,80-84세,50,27,2,8,5,12,0,11
서울특별시,종로구,기초,여자,85세이상,83,62,8,16,14,24,0,6
서울특별시,종로구,의료,남자,65세미만,0,0,0,0,0,0,0,0
서울특별시,종로구,의료,남자,65-69세,0,0,0,0,0,0,0,0
서울특별시,종로구,의료,남자,70-74세,1,1,0,0,0,1,0,0
서울특별시,종로구,의료,남자,75-79세,1,0,0,0,0,0,0,0
