"type","rating","rat_detail","rat_year","rat_type","name","capacity","current","remain","waiting","phone","addr_si","addr_gu","addr_st","addr_old","lon_x","lat_y"
"주야간보호","A","최우수","2016","절대평가","행복드림복지협동조합",20,20,0,4,"02-374-6225","서울특별시","서대문구","응암로 73 3층301호","북가좌동",NA,NA
"주야간보호","A","최우수","2016","절대평가","(주)그린케어 강동노인복지센터",20,20,0,1,"02-441-6512","서울특별시","강동구","올림픽로 824 3층","암사동",NA,NA
"주야간보호","A","최우수","2016","절대평가","가양5데이케어센터",31,31,0,4,"02-2668-1623","서울특별시","강서구","양천로57길 36","가양동, 가양5종합사회복지관내 3층",NA,NA
"주야간보호","A","최우수","2016","절대평가","강남논현데이케어센터",28,26,2,5,"02-547-0881","서울특별시","강남구","논현로136길 5-8","논현동",NA,NA
"주야간보호","A","최우수","2016","절대평가","강동구립 해공데이케어센터",17,17,0,0,"02-478-0601","서울특별시","강동구","천중로17길 42-16","천호동",NA,NA
"치매전담형주야간보호","A","최우수","2016","절대평가","강동미르사랑 데이케어센터",20,19,1,0,"02-475-8808","서울특별시","강동구","천호대로 1210","둔촌동, 은선빌딩 4층",37.5348999,127.1456371
"주야간보호","A","최우수","2016","절대평가","강서구립 봉제산데이케어센터",24,24,0,11,"02-2605-1555","서울특별시","강서구","초록마을로15길 12 3층","화곡동, 봉제산노인복지센터",NA,NA
"주야간보호","A","최우수","2014","상대평가","강서노인복지관데이케어센터",18,18,0,0,"070-7090-5481","서울특별시","강서구","화곡로61길 85","등촌동, 강서노인종합복지관 2층",NA,NA
"주야간보호","A","최우수","2016","절대평가","관악노인종합사회복지관 병설 관악데이케어센터",28,28,0,7,"02-888-9978","서울특별시","관악구","보라매로 35","봉천동",NA,NA
"주야간보호","A","최우수","2016","절대평가","관악미르사랑데이케어센터",20,20,0,0,"02-871-5501","서울특별시","관악구","은천로 25","봉천동, 정암빌딩 4층",NA,NA
"주야간보호","A","최우수","2016","절대평가","광진노인보호센터",20,19,1,0,"02-458-0350","서울특별시","광진구","뚝섬로58길 13","자양동",NA,NA
"주야간보호","A","최우수","2016","절대평가","구로노인종합복지관 병설 구로데이케어센터",17,17,0,2,"02-855-1811","서울특별시","구로구","새말로16길 7","구로동",NA,NA
"주야간보호","A","최우수","2016","절대평가","구립 역삼데이케어센터",21,21,0,5,"02-501-5684","서울특별시","강남구","도곡로27길 27","역삼동",NA,NA
"주야간보호","A","최우수","2016","절대평가","구립 재영데이케어센터",27,27,0,0,"02-822-5119","서울특별시","동작구","노량진로6다길 26","노량진동",NA,NA
"주야간보호","A","최우수","2016","절대평가","구립당산데이케어센터",21,21,0,0,"02-2068-1120","서울특별시","영등포구","국회대로28길 17 2층","당산동3가, 한얼빌딩",NA,NA
"주야간보호","A","최우수","2016","절대평가","구립대치데이케어센터",20,20,0,0,"02-564-0108","서울특별시","강남구","역삼로69길 22","대치동",NA,NA
"주야간보호","A","최우수","2016","절대평가","구립서대문데이케어센터",21,21,0,15,"02-391-3082","서울특별시","서대문구","홍지문2길 59","홍은동",NA,NA
"주야간보호","A","최우수","2016","절대평가","구립서울숲데이케어센터",21,21,0,15,"02-464-4477","서울특별시","성동구","서울숲길 54","성수동1가, 성수그린빌 1층",NA,NA
"주야간보호","A","최우수","2016","절대평가","구립양천데이케어센터",21,21,0,11,"02-2695-1626","서울특별시","양천구","신월로 26","신정동",NA,NA
"주야간보호","A","최우수","2016","절대평가","구립엘림데이케어센터",21,21,0,0,"02-2637-3970","서울특별시","영등포구","도영로 41 5층","도림동",NA,NA
"주야간보호","A","최우수","2016","절대평가","구립용산노인데이케어센터",24,24,0,26,"02-715-5540","서울특별시","용산구","효창원로93길 51","효창동",NA,NA
"주야간보호","A","최우수","2016","절대평가","구산데이케어센터",21,21,0,8,"02-353-0840","서울특별시","은평구","연서로13길 29-7 4층","구산동",NA,NA
"주야간보호","A","최우수","2016","절대평가","궁동데이케어센터",21,21,0,0,"02-2616-0157","서울특별시","구로구","부일로17길 158-4","궁동",NA,NA
"주야간보호","A","최우수","2016","절대평가","남부데이케어센터",20,20,0,1,"02-861-6145","서울특별시","관악구","조원로 166-1","신림동, 대신빌딩 1층",NA,NA
"주야간보호","A","최우수","2016","절대평가","남산실버복지센터(은빛사랑)",23,23,0,6,"02-2238-9941","서울특별시","중구","동호로5길 189","신당동",NA,NA
"주야간보호","A","최우수","2016","절대평가","덕수노인복지센터",38,37,1,9,"02-762-4262","서울특별시","성북구","성북로28길 14","성북동",NA,NA
"주야간보호","A","최우수","2016","절대평가","도봉노인종합복지관 주간보호센터",24,14,0,5,"02-990-6670","서울특별시","도봉구","도당로2길 12-13","쌍문동",NA,NA
"주야간보호","A","최우수","2016","절대평가","도봉실버데이케어센터",24,24,0,16,"02-955-7135","서울특별시","도봉구","방학제3동 441번지 1호",NA,NA,NA
"주야간보호","A","최우수","2016","절대평가","동대문노인종합복지관 부설 구립데이케어센터",17,16,1,0,"02-968-2861","서울특별시","동대문구","홍릉로 81","청량리동, 청량리복합청사 3층",NA,NA
"주야간보호","A","최우수","2016","절대평가","동대문노인종합복지관 부설 구립명성데이케어센터",20,20,0,0,"02-926-2030","서울특별시","동대문구","무학로28길 22-2","용두동",NA,NA
"주야간보호","A","최우수","2016","절대평가","동소문데이케어센터",20,20,0,0,"02-926-7273","서울특별시","성북구","동소문로11길 18 101호","동소문동4가, 삼총사타운",NA,NA
"주야간보호","A","최우수","2016","절대평가","마포 데이케어센터",24,24,0,20,"02-333-1040","서울특별시","마포구","서강로 68","창전동, 마포노인종합복지관 2층",NA,NA
"주야간보호","A","최우수","2016","절대평가","마포노인복지센터",21,21,0,10,"02-712-3633","서울특별시","마포구","만리재옛12길 6-2","공덕동",NA,NA
"주야간보호","A","최우수","2016","절대평가","면목종합사회복지관병설 면목데이케어센터",21,21,0,0,"02-436-0069","서울특별시","중랑구","용마산로 228","면목동, 면목종합사회복지관",NA,NA
